#x_m,y_m,w_tr_right_m,w_tr_left_m
0.135960306,-0.135207068,7.269577362,7.269577362
5.368362206,0.64124376,7.297195448,7.297195448
10.60095916,1.414877629,7.32246056,7.32246056
15.83374835,2.185822527,7.345485932,7.345485932
21.06672699,2.95420644,7.36638638,7.36638638
26.29989226,3.720157356,7.385278187,7.385278187
31.53324137,4.483803264,7.402278982,7.402278982
36.76677151,5.245272151,7.417507646,7.417507646
42.00047987,6.004692004,7.431084207,7.431084207
47.23436366,6.762190812,7.443129762,7.443129762
52.46842006,7.517896563,7.453766389,7.453766389
57.70264628,8.271937243,7.463117076,7.463117076
62.9370395,9.02444084,7.471305642,7.471305642
68.17159693,9.775535343,7.478456672,7.478456672
73.40631577,10.52534874,7.484695449,7.484695449
78.6411932,11.27400902,7.490147888,7.490147888
83.87622642,12.02164416,7.494940474,7.494940474
89.11141263,12.76838216,7.499200193,7.499200193
94.34674903,13.51435101,7.503054478,7.503054478
99.58223281,14.25967869,7.506631136,7.506631136
104.8178612,15.00449318,7.510058293,7.510058293
110.0536313,15.74892249,7.513464322,7.513464322
115.2895404,16.49309458,7.516977783,7.516977783
120.5255857,17.23713747,7.520727354,7.520727354
125.7617643,17.98117912,7.524841764,7.524841764
130.9980735,18.72534753,7.529449725,7.529449725
136.2345104,19.46977068,7.534679859,7.534679859
141.4710723,20.21457657,7.540660633,7.540660633
146.7077563,20.95989318,7.547520279,7.547520279
151.9445597,21.7058485,7.55538673,7.55538673
157.1814796,22.45257051,7.564387542,7.564387542
162.4184869,23.20025717,7.57457511,7.57457511
167.6552785,23.94983244,7.585226239,7.585226239
172.8913896,24.70265035,7.595159377,7.595159377
178.126357,25.46006509,7.603182074,7.603182074
183.3597668,26.22336678,7.608025714,7.608025714
188.591237,26.99380414,7.608373354,7.608373354
193.820386,27.77262515,7.602910284,7.602910284
199.0468322,28.56107783,7.590325766,7.590325766
204.2702356,29.36028958,7.569440569,7.569440569
209.4913793,30.16813476,7.54249164,7.54249164
214.7122701,30.97894355,7.515418775,7.515418775
219.9349763,31.78686721,7.494320892,7.494320892
225.1615708,32.58593142,7.48515181,7.48515181
230.3942299,33.36732163,7.491287986,7.491287986
235.6352319,34.11940934,7.51359736,7.51359736
240.8868599,34.83044579,7.552879523,7.552879523
246.1507382,35.49096391,7.607665738,7.607665738
251.4172125,36.13059155,7.637092668,7.637092668
256.6661217,36.82822384,7.582365285,7.582365285
261.8728508,37.73009734,7.443120322,7.443120322
267.0091405,39.0001648,7.23515512,7.23515512
271.991737,40.81497021,7.021511152,7.021511152
276.666171,43.31865883,6.932082346,6.932082346
280.8888923,46.54552526,7.022525627,7.022525627
284.5556882,50.3910679,7.221397874,7.221397874
287.5995115,54.7307187,7.498214802,7.498214802
289.9710248,59.46623094,7.877316309,7.877316309
291.6185235,64.49364248,8.378190597,8.378190597
292.477884,69.67045194,8.969948435,8.969948435
292.5414961,74.8768513,9.596369887,9.596369887
292.0101652,80.08904396,10.12468818,10.12468818
291.1803352,85.30604306,10.44588289,10.44588289
290.1921705,90.50875684,10.58741119,10.58741119
289.0911516,95.6813198,10.62125643,10.62125643
287.8888313,100.8281278,10.58750135,10.58750135
286.6039313,105.956416,10.51705449,10.51705449
285.2726701,111.0748077,10.42790721,10.42790721
283.9329217,116.1920574,10.33690132,10.33690132
282.6223977,121.3168791,10.26067914,10.26067914
281.3642885,126.4543884,10.20648441,10.20648441
280.1520145,131.60274,10.16837486,10.16837486
278.9735097,136.7590125,10.14094734,10.14094734
277.8166709,141.9202788,10.11876461,10.11876461
276.6693952,147.0836118,10.09627363,10.09627363
